id,ipAddress,userName,email,2FAEnabled
1,111.0.0.135,mcosser0,hmagnar0@unc.edu,false
2,126.248.62.96,aboffin1,ecompson1@example.com,false
3,2.101.105.33,arobertacci2,elapwood2@kickstarter.com,false
4,161.59.200.46,eedmondson3,fcarlaw3@smugmug.com,false
5,172.210.128.2,vgauthorpp4,fnorkutt4@example.com,false
6,179.156.10.26,bbloxland5,lleversha5@kickstarter.com,true
7,182.170.213.203,amowle6,gjahner6@illinois.edu,true
8,165.73.169.49,npanchen7,tslocum7@example.com,false
9,189.67.102.205,akarpushkin8,djennison8@examiner.com,true
10,0.201.235.129,qmacnamara9,horringe9@dyndns.org,true
11,143.69.40.39,sionsa,ecommuccia@webmd.com,true
12,174.10.103.193,bjohnssonb,ugommesb@example.com,false
13,75.179.16.63,lgunthorpec,bhallettc@wikimedia.org,false
14,156.159.38.120,jneisingd,jgained@sourceforge.net,false
15,129.123.85.195,wnappine,dbakeye@npr.org,true
16,12.178.229.243,epreddlef,ddrezzerf@about.me,true
17,132.189.54.224,gmaycockg,csymondsg@ifeng.com,false
18,20.62.65.224,akinclah,hferrettinoh@wordpress.org,false
19,12.149.37.148,sbrennenstuhli,lscrannagei@yelp.com,false
20,116.216.20.196,acowlamj,kpickrellj@example.com,true
21,68.89.10.156,vdymidowskik,dancliffek@opera.com,true
22,9.103.107.81,seastopel,olubmanl@example.com,true
23,174.55.201.44,igrassettm,asweenym@sun.com,false
24,139.136.24.39,mtradewelln,jcanarion@lulu.com,false
25,185.112.190.25,vmillwardo,dtruceo@comsenz.com,false
26,3.147.193.90,jheindrichp,afeckeyp@google.co.uk,false
27,8.153.155.138,hocosgraq,msargoodq@example.com,false
28,147.192.20.54,cjosefsonr,aabercrombier@imageshack.us,false
29,34.74.196.46,mhannums,bstilliards@example.com,true
30,24.43.62.130,bdessantt,crasellest@springer.com,false
31,117.144.250.27,jwatkissu,mklimmeku@webs.com,false
32,77.61.224.35,simmsv,prenforthv@mayoclinic.com,true
33,58.50.123.37,adukesw,zmorlw@1688.com,true
34,224.107.132.209,bchasmerx,sdeyesx@guardian.co.uk,false
35,104.227.196.75,wahrendseny,oprandyy@huffingtonpost.com,false
36,148.202.118.119,gruprichz,bjewarz@hubpages.com,true
37,57.112.92.196,lblown10,vjoselevitz10@answers.com,false
38,124.198.2.169,ypattesall11,jwithrington11@forbes.com,true
39,230.168.16.131,hjones12,tyurlov12@example.com,true
40,44.4.223.151,sdonati13,hduberry13@taobao.com,true
